name,set,number,rarity,variant,date,market_price
Accelgor,White Flare,94,Illustration Rare,holofoil,2026-07-20,19.35
Aegislash,Paradox Rift,210,Illustration Rare,holofoil,2026-07-20,11.72
Aipom,Paradox Rift,211,Illustration Rare,holofoil,2026-07-20,31.46
Alolan Dugtrio,Surging Sparks,208,Illustration Rare,holofoil,2026-07-20,9.52
Alomomola,Black Bolt,108,Illustration Rare,holofoil,2026-07-20,26.41
Ambipom,Phantasmal Flames,107,Illustration Rare,holofoil,2026-07-20,2.2
Amoonguss,Black Bolt,96,Illustration Rare,holofoil,2026-07-20,47.51
Appletun,Surging Sparks,211,Illustration Rare,holofoil,2026-07-20,7.13
Applin,Twilight Masquerade,185,Illustration Rare,holofoil,2026-07-20,15.02
Arbok,Temporal Forces,176,Illustration Rare,holofoil,2026-07-20,32.17
Archaludon,Stellar Crown,155,Illustration Rare,holofoil,2026-07-20,4.23
Archeops,White Flare,132,Illustration Rare,holofoil,2026-07-20,15.09
Arctibax,Paldea Evolved,209,Illustration Rare,holofoil,2026-07-20,19.41
Armarouge,Scarlet & Violet,203,Illustration Rare,holofoil,2026-07-20,16.94
Articuno,Journey Together,161,Illustration Rare,holofoil,2026-07-20,21.38
Arven's Greedent,Destined Rivals,205,Illustration Rare,holofoil,2026-07-20,4.02
Audino,Black Bolt,151,Illustration Rare,holofoil,2026-07-20,42.01
Axew,Black Bolt,145,Illustration Rare,holofoil,2026-07-20,21.93
Basculin,White Flare,108,Illustration Rare,holofoil,2026-07-20,9.6
Baxcalibur,Paldea Evolved,210,Illustration Rare,holofoil,2026-07-20,38.05
Beartic,Black Bolt,110,Illustration Rare,holofoil,2026-07-20,10.23
Beheeyem,Black Bolt,121,Illustration Rare,holofoil,2026-07-20,8.62
Bellibolt,Obsidian Flames,201,Illustration Rare,holofoil,2026-07-20,5.6
Bewear,Shrouded Fable,79,Illustration Rare,holofoil,2026-07-20,30.31
Bisharp,Black Bolt,143,Illustration Rare,holofoil,2026-07-20,12.07
Blaziken,Destined Rivals,192,Illustration Rare,holofoil,2026-07-20,11.03
Blitzle,Paradox Rift,195,Illustration Rare,holofoil,2026-07-20,11.37
Blitzle,White Flare,114,Illustration Rare,holofoil,2026-07-20,11.32
Boldore,White Flare,128,Illustration Rare,holofoil,2026-07-20,6.53
Bombirdier,Scarlet & Violet,219,Illustration Rare,holofoil,2026-07-20,5.87
Bramblin,Paldea Evolved,198,Illustration Rare,holofoil,2026-07-20,11.06
Braviary,Surging Sparks,214,Illustration Rare,holofoil,2026-07-20,5.39
Braviary,Black Bolt,155,Illustration Rare,holofoil,2026-07-20,11.54
Bronzor,Temporal Forces,170,Illustration Rare,holofoil,2026-07-20,8.54
Brute Bonnet,Paradox Rift,207,Illustration Rare,holofoil,2026-07-20,19.91
Bruxish,Surging Sparks,200,Illustration Rare,holofoil,2026-07-20,2.55
Bulbasaur,151,166,Illustration Rare,holofoil,2026-07-20,85.63
Bulbasaur,Stellar Crown,143,Illustration Rare,holofoil,2026-07-20,113.86
Bulbasaur,Mega Evolution,133,Illustration Rare,holofoil,2026-07-20,19.72
Carracosta,Black Bolt,107,Illustration Rare,holofoil,2026-07-20,14.94
Castform Sunny Form,Surging Sparks,195,Illustration Rare,holofoil,2026-07-20,8.81
Caterpie,151,172,Illustration Rare,holofoil,2026-07-20,18.29
Ceruledge,Surging Sparks,197,Illustration Rare,holofoil,2026-07-20,24.45
Cetitan,Surging Sparks,201,Illustration Rare,holofoil,2026-07-20,3.15
Chandelure,White Flare,103,Illustration Rare,holofoil,2026-07-20,66.24
Chansey,Twilight Masquerade,187,Illustration Rare,holofoil,2026-07-20,57.47
Charjabug,Temporal Forces,169,Illustration Rare,holofoil,2026-07-20,9.01
Charmander,151,168,Illustration Rare,holofoil,2026-07-20,78.96
Charmeleon,151,169,Illustration Rare,holofoil,2026-07-20,58.83
Chatot,Temporal Forces,181,Illustration Rare,holofoil,2026-07-20,11.9
Chimecho,Twilight Masquerade,179,Illustration Rare,holofoil,2026-07-20,5.91
Cinccino,Temporal Forces,183,Illustration Rare,holofoil,2026-07-20,43.06
Cinccino,Black Bolt,153,Illustration Rare,holofoil,2026-07-20,31.45
Clamperl,Destined Rivals,195,Illustration Rare,holofoil,2026-07-20,4.98
Clauncher,Scarlet & Violet,205,Illustration Rare,holofoil,2026-07-20,8.26
Clawitzer,Mega Evolution,141,Illustration Rare,holofoil,2026-07-20,1.92
Cleffa,Obsidian Flames,202,Illustration Rare,holofoil,2026-07-20,38.29
Clobbopus,Surging Sparks,207,Illustration Rare,holofoil,2026-07-20,7.57
Cobalion,Black Bolt,144,Illustration Rare,holofoil,2026-07-20,33.44
Cofagrigus,White Flare,123,Illustration Rare,holofoil,2026-07-20,28.16
Conkeldurr,Black Bolt,127,Illustration Rare,holofoil,2026-07-20,41.34
Cottonee,White Flare,90,Illustration Rare,holofoil,2026-07-20,10.16
Crabominable,Stellar Crown,149,Illustration Rare,holofoil,2026-07-20,3.0
Cramorant,Twilight Masquerade,176,Illustration Rare,holofoil,2026-07-20,5.21
Cresselia,Shrouded Fable,71,Illustration Rare,holofoil,2026-07-20,27.46
Crocalor,Paldea Evolved,202,Illustration Rare,holofoil,2026-07-20,19.58
Crustle,Paradox Rift,183,Illustration Rare,holofoil,2026-07-20,5.71
Crustle,Destined Rivals,186,Illustration Rare,holofoil,2026-07-20,3.55
Crustle,Black Bolt,130,Illustration Rare,holofoil,2026-07-20,7.85
Cryogonal,Black Bolt,111,Illustration Rare,holofoil,2026-07-20,9.78
Cubchoo,Black Bolt,109,Illustration Rare,holofoil,2026-07-20,19.92
Cufant,Shrouded Fable,76,Illustration Rare,holofoil,2026-07-20,16.11
Cutiefly,Temporal Forces,172,Illustration Rare,holofoil,2026-07-20,9.06
Cyclizar,Paradox Rift,215,Illustration Rare,holofoil,2026-07-20,8.07
Cynthia's Roserade,Destined Rivals,184,Illustration Rare,holofoil,2026-07-20,14.45
Darmanitan,Black Bolt,98,Illustration Rare,holofoil,2026-07-20,12.52
Darumaka,Black Bolt,97,Illustration Rare,holofoil,2026-07-20,16.97
Deerling,Temporal Forces,165,Illustration Rare,holofoil,2026-07-20,45.0
Deerling,White Flare,91,Illustration Rare,holofoil,2026-07-20,24.12
Deino,White Flare,146,Illustration Rare,holofoil,2026-07-20,18.46
Delibird,Mega Evolution,152,Illustration Rare,holofoil,2026-07-20,2.45
Dewgong,Phantasmal Flames,97,Illustration Rare,holofoil,2026-07-20,4.8
Dewott,White Flare,106,Illustration Rare,holofoil,2026-07-20,23.76
Dipplin,Twilight Masquerade,170,Illustration Rare,holofoil,2026-07-20,12.44
Dolliv,Scarlet & Violet,200,Illustration Rare,holofoil,2026-07-20,7.32
Dondozo,Scarlet & Violet,207,Illustration Rare,holofoil,2026-07-20,14.77
Dottler,Paradox Rift,184,Illustration Rare,holofoil,2026-07-20,5.96
Dragonair,151,181,Illustration Rare,holofoil,2026-07-20,49.41
Drampa,Temporal Forces,184,Illustration Rare,holofoil,2026-07-20,31.2
Drilbur,Black Bolt,124,Illustration Rare,holofoil,2026-07-20,8.23
Drowzee,Scarlet & Violet,210,Illustration Rare,holofoil,2026-07-20,61.73
Druddigon,White Flare,151,Illustration Rare,holofoil,2026-07-20,28.97
Ducklett,White Flare,109,Illustration Rare,holofoil,2026-07-20,35.88
Dudunsparce,Paldea Evolved,229,Illustration Rare,holofoil,2026-07-20,11.57
Duosion,Black Bolt,119,Illustration Rare,holofoil,2026-07-20,16.26
Durant,White Flare,150,Illustration Rare,holofoil,2026-07-20,12.37
Dusclops,Shrouded Fable,69,Illustration Rare,holofoil,2026-07-20,46.06
Dusknoir,Shrouded Fable,70,Illustration Rare,holofoil,2026-07-20,34.46
Duskull,Shrouded Fable,68,Illustration Rare,holofoil,2026-07-20,60.07
Dwebble,Black Bolt,129,Illustration Rare,holofoil,2026-07-20,65.16
Eelektrik,Black Bolt,114,Illustration Rare,holofoil,2026-07-20,23.91
Eelektross,Black Bolt,115,Illustration Rare,holofoil,2026-07-20,30.09
Eevee,Twilight Masquerade,188,Illustration Rare,holofoil,2026-07-20,96.51
Eiscue,Paldea Evolved,205,Illustration Rare,holofoil,2026-07-20,23.07
Electrike,Destined Rivals,196,Illustration Rare,holofoil,2026-07-20,3.79
Elgyem,Black Bolt,120,Illustration Rare,holofoil,2026-07-20,15.02
Emboar,White Flare,98,Illustration Rare,holofoil,2026-07-20,46.78
Emolga,Black Bolt,112,Illustration Rare,holofoil,2026-07-20,19.68
Enamorus,Twilight Masquerade,180,Illustration Rare,holofoil,2026-07-20,7.45
